 0,0,-28,49,56,112,0,105
 1,0,-28,46,56,111,0,101.5
 2,0,-28,42,56,111,0,97.5
 3,0,-27,46,55,110,0.5,101
 4,0,-29,40,58,115,0,97.5
 5,0,-29,41,58,114,0,98
 5,1,-54,53,109,218,0.5,162
 6,0,-28,46,56,111,0,101.5
 7,0,-27,47,55,110,0.5,102
 7,1,-52,65,103,206,-0.5,168
 8,1,-51,63,102,205,0,165.5
 9,1,-51,61,103,206,0.5,164
 10,1,-50,65,102,203,1,166.5
 11,1,-51,61,103,206,0.5,164
 12,0,-28,41,57,113,0.5,97.5
 12,1,-51,63,102,205,0,165.5
 13,0,-27,44,55,110,0.5,99
 13,1,-49,65,98,195,0,162.5
 14,1,-51,63,102,205,0,165.5
 15,0,-27,45,55,110,0.5,100
 15,1,-50,64,101,202,0.5,165
 16,0,-27,49,55,110,0.5,104
 16,1,-50,66,102,202,1,167
 17,0,-28,48,56,112,0,104
 18,0,-29,40,58,116,0,98
 19,0,-28,49,55,110,-0.5,104
 20,0,-29,45,57,114,-0.5,102
 21,0,-28,42,57,114,0.5,99
 22,0,-29,41,58,115,0,98.5
 23,0,-28,44,57,113,0.5,100.5
 24,0,-29,44,58,115,0,101.5
 25,0,-29,43,58,114,0,100
 26,0,-29,44,57,114,-0.5,101
 27,0,-29,42,58,115,0,99.5
 28,0,-29,41,58,117,0,99.5
 29,0,-28,48,56,112,0,104
 30,0,-28,46,56,112,0,102
 31,0,-28,42,56,111,0,97.5
 32,0,-28,50,55,110,-0.5,105
 33,0,-28,43,57,114,0.5,100
 34,0,-28,50,55,110,-0.5,105
 34,1,-52,66,104,208,0,170
 35,0,-28,47,56,112,0,103
 36,0,-28,47,55,111,-0.5,102.5
 37,0,-28,47,55,110,-0.5,102
 38,0,-28,46,56,112,0,102
 39,0,-28,42,57,113,0.5,98.5
 40,0,-28,42,57,114,0.5,99
 41,0,-28,42,57,114,0.5,99
 42,0,-29,45,57,114,-0.5,102
 43,0,-27,47,54,110,0,102
 44,0,-27,46,55,110,0.5,101
 45,0,-27,48,55,110,0.5,103
 46,0,-27,50,54,110,0,105
 46,1,-54,63,106,213,-1,169.5
 47,0,-29,44,57,114,-0.5,101
 48,0,-29,41,57,114,-0.5,98
 49,0,-27,48,55,110,0.5,103
 50,0,-28,44,56,111,0,99.5
 51,0,-28,48,57,114,0.5,105
 52,0,-28,45,56,111,0,100.5
 53,0,-28,42,57,114,0.5,99
 54,0,-28,47,55,110,-0.5,102
 55,0,-28,42,57,114,0.5,99
 56,0,-29,46,57,114,-0.5,103
 57,0,-28,47,56,111,0,102.5
 58,0,-28,40,57,114,0.5,97
 59,0,-29,41,58,115,0,98.5
 60,0,-29,44,58,116,0,102
 61,0,-28,42,57,114,0.5,99
 62,0,-28,45,56,112,0,101
 63,0,-28,40,56,112,0,96
 64,0,-29,45,58,114,0,102
 65,0,-27,49,55,110,0.5,104
 66,0,-28,44,57,113,0.5,100.5
 67,0,-27,50,55,110,0.5,105
 68,0,-28,47,56,112,0,103
 69,0,-28,45,57,113,0.5,101.5
 70,0,-27,44,55,110,0.5,99
 70,1,-49,73,98,197,0,171.5
 71,0,-28,48,56,111,0,103.5
 72,0,-28,48,56,112,0,104
 73,0,-28,42,57,114,0.5,99
 73,1,-49,73,98,197,0,171.5
 74,0,-28,44,56,112,0,100
 75,0,-29,41,58,115,0,98.5
 76,0,-29,44,58,114,0,101
 77,0,-28,44,57,113,0.5,100.5
 78,0,-28,42,56,111,0,97.5
 79,0,-28,46,56,112,0,102
 80,0,-28,47,55,110,-0.5,102
 81,0,-28,47,55,110,-0.5,102
 82,0,-29,45,58,115,0,102.5
 83,0,-28,44,57,113,0.5,100.5
 84,0,-27,45,55,110,0.5,100
 85,0,-28,42,56,112,0,98
 86,0,-27,48,54,110,0,103
 87,0,-29,41,58,115,0,98.5
 88,0,-30,42,58,117,-1,100.5
 88,1,-50,70,100,200,0,170
 89,0,-28,47,56,112,0,103
 90,0,-28,45,56,112,0,101
 91,0,-28,45,56,112,0,101
 92,0,-28,43,57,113,0.5,99.5
 93,0,-29,45,58,114,0,102
 94,0,-29,41,58,115,0,98.5
 95,0,-28,45,57,113,0.5,101.5
 96,0,-28,45,57,113,0.5,101.5
 97,0,-28,49,55,110,-0.5,104
 97,1,-52,65,103,206,-0.5,168
 98,0,-28,46,56,112,0,102
 99,0,-29,43,58,114,0,100
 100,0,-29,44,58,116,0,102
 101,0,-29,45,58,114,0,102
 102,0,-28,44,56,111,0,99.5
 103,0,-29,41,57,114,-0.5,98
 104,0,-29,44,57,114,-0.5,101
 105,0,-28,44,57,113,0.5,100.5
